subject,component,sov,cond,amplitude,is_peak
01,N100,wm,Bl0T1,-0.787481839624592,1
01,P2,wm,Bl0T1,0.771862348831044,1
01,N350,wm,Bl0T1,-0.742165873662855,1
01,N100,wm,Bl0T2,-0.907673254799492,1
01,P2,wm,Bl0T2,0.0459791803197004,1
01,N350,wm,Bl0T2,-0.565929447588675,1
01,N100,wm,Bl0T3,-0.956131860107937,1
01,P2,wm,Bl0T3,0.0921593557024947,1
01,N350,wm,Bl0T3,-0.77126616035454,1
01,N100,wm,Bl0T4,-0.886439073740803,1
01,P2,wm,Bl0T4,0.0885621908837493,1
01,N350,wm,Bl0T4,-0.450326532628969,1
01,N100,wn,Bl0T1,-1.15363513408211,1
01,P2,wn,Bl0T1,0.442573031440579,1
01,N350,wn,Bl0T1,-1.93204016042297,1
01,N100,wn,Bl0T2,-1.44056132864591,1
01,P2,wn,Bl0T2,0.0625153344291832,1
01,N350,wn,Bl0T2,-0.876898539302762,1
01,N100,wn,Bl0T3,-2.42030281233533,1
01,P2,wn,Bl0T3,0.148942956028665,1
01,N350,wn,Bl0T3,-1.51669922133862,1
01,N100,wn,Bl0T4,-1.80738242498019,1
01,P2,wn,Bl0T4,0.340257236024968,1
01,N350,wn,Bl0T4,-0.563710031563929,1
02,N100,wm,Bl0T1,-0.950383605502993,1
02,P2,wm,Bl0T1,-0.605940994912715,1
02,N350,wm,Bl0T1,-1.88043429765475,1
02,N100,wm,Bl0T2,-0.429783975543882,1
02,P2,wm,Bl0T2,0.0700009493874784,1
02,N350,wm,Bl0T2,-0.353996938288281,1
02,N100,wm,Bl0T3,-0.727063932510014,1
02,P2,wm,Bl0T3,0.310997842165954,1
02,N350,wm,Bl0T3,-0.620957297530442,1
02,N100,wm,Bl0T4,-0.325938969188445,1
02,P2,wm,Bl0T4,0.040441500010156,1
02,N350,wm,Bl0T4,-0.397660391926551,1
02,N100,wn,Bl0T1,-2.28765124322168,1
02,P2,wn,Bl0T1,-1.6213271171849,1
02,N350,wn,Bl0T1,-3.67151051261445,1
02,N100,wn,Bl0T2,-1.42461273492689,1
02,P2,wn,Bl0T2,-1.20273091066107,1
02,N350,wn,Bl0T2,-1.38386191770386,1
02,N100,wn,Bl0T3,-1.99578133223998,1
02,P2,wn,Bl0T3,-0.939672343973826,1
02,N350,wn,Bl0T3,-2.33921980721278,1
02,N100,wn,Bl0T4,-0.843462355808819,1
02,P2,wn,Bl0T4,-0.518276341096236,1
02,N350,wn,Bl0T4,-0.678977995565726,1
03,N100,wm,Bl0T1,-2.20818359240804,1
03,P2,wm,Bl0T1,0.996703439541895,1
03,N350,wm,Bl0T1,-1.59526677565378,1
03,N100,wm,Bl0T2,-2.53995290570751,1
03,P2,wm,Bl0T2,-0.707335072462659,1
03,N350,wm,Bl0T2,-0.766870115741392,1
03,N100,wm,Bl0T3,-1.8660267906521,1
03,P2,wm,Bl0T3,0.141114739667638,1
03,N350,wm,Bl0T3,-0.681398939695155,1
03,N100,wm,Bl0T4,-2.41598052460538,1
03,P2,wm,Bl0T4,-0.408461067949732,1
03,N350,wm,Bl0T4,-0.646827322157685,1
03,N100,wn,Bl0T1,-2.89388706402211,1
03,P2,wn,Bl0T1,1.07761406469014,1
03,N350,wn,Bl0T1,-1.69992162446477,1
03,N100,wn,Bl0T2,-2.7745086837701,1
03,P2,wn,Bl0T2,-0.0364092807375886,1
03,N350,wn,Bl0T2,-0.445396429291048,1
03,N100,wn,Bl0T3,-2.97222440259467,1
03,P2,wn,Bl0T3,-0.727546339742592,1
03,N350,wn,Bl0T3,-1.25817798988569,1
03,N100,wn,Bl0T4,-2.93196097168486,1
03,P2,wn,Bl0T4,-0.190327935228406,1
03,N350,wn,Bl0T4,-0.573037383015352,1
04,N100,wm,Bl0T1,-0.726921257747734,1
04,P2,wm,Bl0T1,0.768264898897156,1
04,N350,wm,Bl0T1,-2.44514586514825,1
04,N100,wm,Bl0T2,-0.691415693993351,1
04,P2,wm,Bl0T2,0.038636579621006,1
04,N350,wm,Bl0T2,-0.793469876782197,1
04,N100,wm,Bl0T3,-1.14516807655578,1
04,P2,wm,Bl0T3,-0.395914129854293,1
04,N350,wm,Bl0T3,-1.44594256699607,1
04,N100,wm,Bl0T4,-0.63248790903158,1
04,P2,wm,Bl0T4,0.627531442358017,1
04,N350,wm,Bl0T4,-0.392569211591035,1
04,N100,wn,Bl0T1,-3.00723903331443,1
04,P2,wn,Bl0T1,0.53713678239746,1
04,N350,wn,Bl0T1,-4.57205361583284,1
04,N100,wn,Bl0T2,-1.57877374145248,1
04,P2,wn,Bl0T2,-0.32788318447759,1
04,N350,wn,Bl0T2,-0.729034911482736,1
04,N100,wn,Bl0T3,-1.42169955861543,1
04,P2,wn,Bl0T3,-0.10645310022713,1
04,N350,wn,Bl0T3,-1.37324982463209,1
04,N100,wn,Bl0T4,-1.17223188357541,1
04,P2,wn,Bl0T4,0.0856481960854691,1
04,N350,wn,Bl0T4,-0.470841006908537,1
08,N100,wm,Bl0T1,-0.956428691417979,1
08,P2,wm,Bl0T1,3.32641764015791,1
08,N350,wm,Bl0T1,-0.785385802412337,1
08,N100,wm,Bl0T2,-0.586637143287808,1
08,P2,wm,Bl0T2,0.221588439224288,1
08,N350,wm,Bl0T2,-1.46372793339691,1
08,N100,wm,Bl0T3,-0.9765210897776,1
08,P2,wm,Bl0T3,1.17226045574838,1
08,N350,wm,Bl0T3,-0.463399754002414,1
08,N100,wm,Bl0T4,-1.03460634731929,1
08,P2,wm,Bl0T4,0.465256496146645,1
08,N350,wm,Bl0T4,-0.964609135933548,1
08,N100,wn,Bl0T1,-0.687636958937165,1
08,P2,wn,Bl0T1,2.52933174068867,1
08,N350,wn,Bl0T1,-1.83068777794639,1
08,N100,wn,Bl0T2,-0.635382510344173,1
08,P2,wn,Bl0T2,1.44311035121225,1
08,N350,wn,Bl0T2,-1.32612767300114,1
08,N100,wn,Bl0T3,-1.19246260336954,1
08,P2,wn,Bl0T3,1.43870386621673,1
08,N350,wn,Bl0T3,-0.978079658612195,1
08,N100,wn,Bl0T4,-0.716209011311794,1
08,P2,wn,Bl0T4,1.09907062358364,1
08,N350,wn,Bl0T4,-0.837606131335677,1
09,N100,wm,Bl0T1,-4.31634569811738,1
09,P2,wm,Bl0T1,0.359829506220693,1
09,N350,wm,Bl0T1,-3.51581879359394,1
09,N100,wm,Bl0T2,-1.86203267489708,1
09,P2,wm,Bl0T2,-0.6326438772466,1
09,N350,wm,Bl0T2,-0.855338684130007,1
09,N100,wm,Bl0T3,-2.4531551925158,1
09,P2,wm,Bl0T3,-1.59786709683403,1
09,N350,wm,Bl0T3,-1.63436114724444,1
09,N100,wm,Bl0T4,-2.40404414042779,1
09,P2,wm,Bl0T4,1.29418488363347,0
09,N350,wm,Bl0T4,-2.18644193150362,1
09,N100,wn,Bl0T1,-5.00365959941668,1
09,P2,wn,Bl0T1,0.00163197621899331,1
09,N350,wn,Bl0T1,-4.49968524386428,1
09,N100,wn,Bl0T2,-3.54866747602096,1
09,P2,wn,Bl0T2,-0.154775960896815,0
09,N350,wn,Bl0T2,-1.75618069341441,1
09,N100,wn,Bl0T3,-2.43650837661569,1
09,P2,wn,Bl0T3,1.13216494228474,0
09,N350,wn,Bl0T3,-0.301687559842208,1
09,N100,wn,Bl0T4,-3.11693382238224,1
09,P2,wn,Bl0T4,-3.26097474054636,1
09,N350,wn,Bl0T4,-2.6031684800312,1
10,N100,wm,Bl0T1,-3.782390161814,1
