subject,component,sov,cond,amplitude,is_peak
01,N100,tREM,Bl0T1,-1.13146100827292,1
01,P2,tREM,Bl0T1,5.38618687213052,1
01,N350,tREM,Bl0T1,-1.88732884965983,1
01,N100,tREM,Bl0T2,-3.50437838265709,1
01,P2,tREM,Bl0T2,6.12903989170696,1
01,N350,tREM,Bl0T2,-3.97978710568711,1
01,N100,tREM,Bl0T3,-1.66877479622209,1
01,P2,tREM,Bl0T3,1.93644570807616,1
01,N350,tREM,Bl0T3,-2.85889155392845,1
01,N100,tREM,Bl0T4,-0.456307134130283,1
01,P2,tREM,Bl0T4,3.8234898894241,1
01,N350,tREM,Bl0T4,-1.64954710652104,1
01,N100,pREM,Bl0T1,-0.565446108125505,1
01,P2,pREM,Bl0T1,3.31786938141854,1
01,N350,pREM,Bl0T1,-0.993406203701382,1
01,N100,pREM,Bl0T2,-0.767147964480377,1
01,P2,pREM,Bl0T2,2.05605167124598,1
01,N350,pREM,Bl0T2,-1.37477980083298,1
01,N100,pREM,Bl0T3,-1.82031622462429,1
01,P2,pREM,Bl0T3,1.40012453828717,1
01,N350,pREM,Bl0T3,-1.83757085441479,1
01,N100,pREM,Bl0T4,0.0703543234689563,1
01,P2,pREM,Bl0T4,2.62235275398867,1
01,N350,pREM,Bl0T4,-0.00149517134653733,1
02,N100,tREM,Bl0T1,-0.857292225268685,1
02,P2,tREM,Bl0T1,0.713336725051562,1
02,N350,tREM,Bl0T1,-2.96545291337179,1
02,N100,tREM,Bl0T2,0.0916797399337663,1
02,P2,tREM,Bl0T2,1.28350124559594,1
02,N350,tREM,Bl0T2,-0.772004515641048,1
02,N100,tREM,Bl0T3,-1.32716426538441,1
02,P2,tREM,Bl0T3,0.330333162648756,1
02,N350,tREM,Bl0T3,-2.40922856245678,1
02,N100,tREM,Bl0T4,-0.519882131320238,1
02,P2,tREM,Bl0T4,0.777320432287455,1
02,N350,tREM,Bl0T4,-1.79553027668297,1
02,N100,pREM,Bl0T1,0.259358392851715,1
02,P2,pREM,Bl0T1,1.37599385211763,1
02,N350,pREM,Bl0T1,-2.26034125064682,1
02,N100,pREM,Bl0T2,0.0327167474002261,1
02,P2,pREM,Bl0T2,1.2059369375718,1
02,N350,pREM,Bl0T2,-0.696942970801875,1
02,N100,pREM,Bl0T3,0.663963030337503,1
02,P2,pREM,Bl0T3,1.86722403263673,1
02,N350,pREM,Bl0T3,-1.2207750751958,1
02,N100,pREM,Bl0T4,-1.09954629165511,1
02,P2,pREM,Bl0T4,0.0800708045081426,1
02,N350,pREM,Bl0T4,-0.811169218011601,1
03,N100,tREM,Bl0T1,1.82549795444105,1
03,P2,tREM,Bl0T1,3.18218048274809,1
03,N350,tREM,Bl0T1,-3.79595069189866,1
03,N100,tREM,Bl0T2,-0.27880814020731,1
03,P2,tREM,Bl0T2,5.05131788028936,1
03,N350,tREM,Bl0T2,-0.207104408011145,1
03,N100,tREM,Bl0T3,-2.25047661593678,1
03,P2,tREM,Bl0T3,0.442260050530336,1
03,N350,tREM,Bl0T3,-3.64037841999409,1
03,N100,tREM,Bl0T4,-0.793523838697001,0
03,P2,tREM,Bl0T4,2.43521999012834,1
03,N350,tREM,Bl0T4,-2.32898074498322,1
03,N100,pREM,Bl0T1,-1.61855301409113,0
03,P2,pREM,Bl0T1,2.54196710396897,1
03,N350,pREM,Bl0T1,-2.75168145939877,1
03,N100,pREM,Bl0T2,-0.240701537198491,1
03,P2,pREM,Bl0T2,3.50638387130366,0
03,N350,pREM,Bl0T2,-4.12757099890047,1
03,N100,pREM,Bl0T3,-3.16589516154288,1
03,P2,pREM,Bl0T3,0.910163438303963,1
